Suite,Config,I-AUROC,I-AP,I-F1,P-AUROC,P-AP,P-F1,P-AUPRO,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,Elapsed
6_Decision_Synergy,Hybrid_Hard_0.16,0.925503512880562,0.9904148091291463,0.9649681029073214,0.9846324016788692,0.48466108229824123,0.5197729894014356,0.9280365989420214,0.002107728337236534,22529.0,0.9842683274097201,0.963496303991433,32.64537739753723
6_Decision_Synergy,Hybrid_Hard_0.16_AsymTanh,0.9227400468384075,0.990089207379797,0.9633173344067749,0.9846530757314237,0.4846770381540808,0.5197729894014356,0.9278854638498768,0.002107728337236534,22014.0,0.9842683274097201,0.9621273045843781,32.667320728302
7_End_to_End,Angular_k3_Hard0.16_MorphOpen3,0.923231850117096,0.9900795804634726,0.9651898234783113,0.9846729232198843,0.4846338163169848,0.5197623413336575,0.9274319849419661,0.002107728337236534,22435.0,0.9842466429618062,0.9632578601937739,33.50104808807373
7_End_to_End,Angular_k3_Hard0.16_Morph3_Floor20,0.91711943793911,0.9893118223406612,0.9651898234783113,0.9836369453602866,0.4830306877197169,0.5191482559762678,0.9195471405740706,0.003747072599531616,21720.0,0.9810979984458326,0.9610450673843276,38.674500465393066
7_End_to_End,Angular_k3_Hard0.16_FullPipeline_Morph3_Floor20_Area30,0.91711943793911,0.9893118223406612,0.9651898234783113,0.9836369504782732,0.48303068861750026,0.5191482559762678,0.9195470442338327,0.003747072599531616,21706.0,0.9810979984458326,0.9610131065222707,54.369850397109985
7_End_to_End,Whitened_Angular_k3_Hard0.16_MorphOpen3,0.9177517564402811,0.9893616572137955,0.9687248898790964,0.9845755337287107,0.4835358026330009,0.5191301952221448,0.9256373298091432,0.002107728337236534,22378.0,0.9842268495491628,0.9631341393093694,33.51351022720337
7_End_to_End,Whitened_Angular_k3_Hard0.16_Morph3_Floor20,0.9155503512880563,0.9891014301023104,0.9663461038713249,0.9832915199192667,0.4819165374293185,0.5188344179410542,0.9153709340968994,0.003747072599531616,21275.0,0.9798035046308905,0.9595820617067196,38.72587871551514
7_End_to_End,Whitened_Angular_k3_Hard0.16_FullPipeline_Morph3_Floor20_Area30,0.9155503512880563,0.9891014301023104,0.9663461038713249,0.9832915232933204,0.48191653787513095,0.5188344179410542,0.9153708182105282,0.003747072599531616,21260.0,0.9798035046308905,0.9595316976439594,52.68319797515869
7_End_to_End,Hybrid_AngL1_k3_Hard0.16_MorphOpen3,0.9255269320843091,0.9904173292411805,0.9649681029073214,0.9846325006863659,0.48466067688488373,0.5197729894014356,0.9280365908568438,0.002107728337236534,22522.0,0.9842683274097201,0.9634808156646822,33.56228446960449
7_End_to_End,Hybrid_AngL1_k3_Hard0.16_Morph3_Floor20,0.9151990632318502,0.9891117084102738,0.9633757462194232,0.9837156969853773,0.4831509371474571,0.5191650036764025,0.9221280701998648,0.002107728337236534,22254.0,0.983054147562954,0.9625346298046735,39.005178928375244
7_End_to_End,Hybrid_AngL1_k3_Hard0.16_FullPipeline_Morph3_Floor20_Area30,0.9151990632318502,0.9891117084102738,0.9633757462194232,0.9837157042656816,0.4831509384154969,0.5191650036764025,0.9221279477882933,0.002107728337236534,22234.0,0.983054147562954,0.9624812187143487,57.48868465423584
7_End_to_End,Mahalanobis_k3_Hard0.18_MorphOpen3,0.9221545667447306,0.9899786564814812,0.9654617974097217,0.9845536665573564,0.48452049700554867,0.5197729894014356,0.9278289718039892,0.002107728337236534,22833.0,0.9842683274097201,0.9641608902638268,33.980313777923584
7_End_to_End,Mahalanobis_k3_Hard0.18_Morph3_Floor20,0.9135597189695551,0.9888940026554677,0.9633173344067749,0.9836576625819229,0.4831013763217442,0.5191650036764025,0.9228585959920153,0.002107728337236534,23266.0,0.983054147562954,0.9646752289399176,39.32066464424133
7_End_to_End,Mahalanobis_k3_Hard0.18_FullPipeline_Morph3_Floor20_Area30,0.9135597189695551,0.9888940026554677,0.9633173344067749,0.9836576766206522,0.4831013787856042,0.5191650036764025,0.9228583795754366,0.002107728337236534,23232.0,0.983054147562954,0.964617064840532,61.576945304870605
